DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
RAISED RIB S0900 L037 T,ETHIOPIA,54840.0,13.0
RAISED RIB S0900 L055 T,ETHIOPIA,54840.0,13.0
TRIGLASS 13x8 L754,ETHIOPIA,1050.0,13.0
TRIGLASS 13x8 L720,FINLAND,200.0,23.0
POM+HTF Ř8 L51,FINLAND,54.0,23.0
RULON-J 20x3 L310,FINLAND,52.0,23.0
RAISED RIB S0900 L037 T,FRANCE,243856.0021875,217.0
"RAISED RIB S0900 L046,5 T",FRANCE,64038.483125,217.0
"LF845-K138 L34,9",FRANCE,18288.0,217.0
A RIPRESA M10x35 M,French Guiana,20.0,2.0
POLIURETANO L700,French Guiana,15.0,2.0
M04x008 ISO7380 AISI304 Classe A2-70,French Polynesia,60.0,6.0
S0900 L152,French Polynesia,40.0,6.0
"Ře14 Ři7,2 H0,8",French Polynesia,40.0,6.0
RAISED RIB S0900 L037 T,GEORGIA,21352.0,62.0
RAISED RIB S0900 L055 T,GEORGIA,12192.0,62.0
3/8 06B-1 PROFILO DIRITTO NICH-GALV (2),GEORGIA,7661.8721875,62.0
"CURVILINEA A TAPPARELLA L82,5",GIBUTI,73152.0,7.0
"RETTILINEA TAPPARELLA L82,5",GIBUTI,21344.0,7.0
TRIGLASS 13x8 L684,GIBUTI,350.0,7.0
TRIGLASS 13x8 L684,GUADELOUPE,600.0,6.0
POLIURETANO L700,GUADELOUPE,60.0,6.0
POM+HTF Ř8 L51,GUADELOUPE,40.0,6.0
RAISED RIB S0900 L037 T,GUATEMALA,42950.904374999984,25.0
RAISED RIB S0900 L055 T,GUATEMALA,15270.484375,25.0
FLAT TOP S1000 L597,GUATEMALA,12527.0,25.0
"10,3x38 25A 500V RAPIDO gG",GUYANA,156.0,1.0
M04x008 ISO7380 AISI304 Classe A2-70,GUYANA,70.0,1.0
"PVC 80°C 300/500V 2x0,25mmq SH. P.FISSA",GUYANA,60.0,1.0
RAISED RIB S0900 L037 T,Germany,167893.40375,99.0
RAISED RIB S0900 L055 T,Germany,12252.9775,99.0
1/2 08B-1 NICHELATA-GALVANICA,Germany,2090.0,99.0
TRIGLASS 13x8 L684,Ghana,800.0,21.0
TRIGLASS 13x8 L475,Ghana,500.0,21.0
LATERALE A RULLI 581-613372 H46,Ghana,400.0,21.0
RAISED RIB S0900 L037 T,Greece,97574.484375,94.0
"RAISED RIB S0900 L046,5 T",Greece,45736.0,94.0
TRIGLASS 13x8 L684,Greece,5300.0,94.0
RAISED RIB S0900 L037 T,HAITI,51848.0,15.0
TRIGLASS 13x8 L754,HAITI,650.0,15.0
LATERALE A RULLI 581-613372 H46,HAITI,280.0,15.0
RAISED RIB S0900 L029 T,HONDURAS,57880.0,6.0
"RAISED RIB S0900 L046,5 T",HONDURAS,48784.0,6.0
RAISED RIB S0900 L076 T,HONDURAS,42723.0,6.0
RAISED RIB S0900 L037 T,HUNGARY,27432.0,34.0
RAISED RIB S0900 L055 T,HUNGARY,9144.0,34.0
TRIGLASS 13x8 L720,HUNGARY,1400.0,34.0
RAISED RIB S0900 L037 T,Hong Kong,6096.0,6.0
DI RITORNO -RMOLL-,Hong Kong,100.0,6.0
12x28x8 6001-2RS1 (2),Hong Kong,52.0,6.0
"RAISED RIB S0900 L046,5 T",ITALY,219672.4415625,847.0
RAISED RIB S0900 L037 T,ITALY,149380.2109375,847.0
RAISED RIB S0900 L029 T,ITALY,45804.2175,847.0
RAISED RIB S0900 L055 T,India,61020.9709375,63.0
RAISED RIB S0900 L029 T,India,57928.0,63.0
RAISED RIB S0900 L037 T,India,45780.973125000004,63.0
