COUNTRY,Correlation,UNITA_MISURA
Malawi,0.00614018358686615,MT
South Korea,0.002816170729710996,N
South Korea,0.002816170729710996,MT
South Korea,0.002816170729710996,LT
South Korea,0.002816170729710996,
UZBEKISTAN,-0.0010593320642217014,N
UZBEKISTAN,-0.0010593320642217014,MT
UZBEKISTAN,-0.0010593320642217014,LT
UZBEKISTAN,-0.0010593320642217014,
PUERTO RICO,-0.005702964977546625,N
PUERTO RICO,-0.005702964977546625,MT
PUERTO RICO,-0.005702964977546625,
Portugal,-0.0072751221194151654,N
Portugal,-0.0072751221194151654,MT
Portugal,-0.0072751221194151654,KG
ZAMBIA,-0.008529767805307611,N
ZAMBIA,-0.008529767805307611,MT
ZAMBIA,-0.008529767805307611,LT
ZAMBIA,-0.008529767805307611,
Israel,-0.013563866528980508,N
Israel,-0.013563866528980508,MT
Israel,-0.013563866528980508,LT
Israel,-0.013563866528980508,
AUSTRIA,-0.017126785840882997,N
AUSTRIA,-0.017126785840882997,MT
AUSTRIA,-0.017126785840882997,LT
Angola (including Cabinda),-0.017926576221312312,N
Angola (including Cabinda),-0.017926576221312312,MT
Angola (including Cabinda),-0.017926576221312312,LT
CANADA,-0.024192610110060703,N
CANADA,-0.024192610110060703,MT
CANADA,-0.024192610110060703,LT
CANADA,-0.024192610110060703,
YEMEN,-0.02474619800051956,N
YEMEN,-0.02474619800051956,MT
Qatar,-0.026802656133767918,N
Qatar,-0.026802656133767918,MT
Qatar,-0.026802656133767918,LT
PERU,-0.027116494869258302,N
PERU,-0.027116494869258302,MT
PERU,-0.027116494869258302,KG
PERU,-0.027116494869258302,
Mozambique,-0.028986956646329394,N
Mozambique,-0.028986956646329394,MT
Nigeria,-0.03236903715097057,N
Nigeria,-0.03236903715097057,MT
Nigeria,-0.03236903715097057,
Argentina,-0.036827007987632304,N
Argentina,-0.036827007987632304,MT
Argentina,-0.036827007987632304,LT
DENMARK,-0.03835690156271504,N
DENMARK,-0.03835690156271504,MT
EQUATORIAL GUINEA,-0.04305153223184291,N
FRANCE,-0.04656328398833294,N
FRANCE,-0.04656328398833294,MT
FRANCE,-0.04656328398833294,CF
FRANCE,-0.04656328398833294,
MALAYSIA,-0.0495453893616839,N
MALAYSIA,-0.0495453893616839,LT
MALAYSIA,-0.0495453893616839,MT
MALAYSIA,-0.0495453893616839,
Ivory Coast,-0.04976279017532018,N
Ivory Coast,-0.04976279017532018,MT
Lithuania,-0.056351864394825625,N
Lithuania,-0.056351864394825625,MT
Lithuania,-0.056351864394825625,
URUGUAY,-0.058412536594329906,N
URUGUAY,-0.058412536594329906,MT
EGYPT,-0.05902320093643313,N
EGYPT,-0.05902320093643313,MT
EGYPT,-0.05902320093643313,CF
EGYPT,-0.05902320093643313,LT
Dominican Republic,-0.059689701524584284,N
Dominican Republic,-0.059689701524584284,MT
Dominican Republic,-0.059689701524584284,CF
Dominican Republic,-0.059689701524584284,LT
Dominican Republic,-0.059689701524584284,
Democratic Rep. of the Congo,-0.06076515837521298,N
Democratic Rep. of the Congo,-0.06076515837521298,MT
Syria,-0.06512804002142782,N
Syria,-0.06512804002142782,MT
Indonesia,-0.06781985768781401,N
Indonesia,-0.06781985768781401,MT
Indonesia,-0.06781985768781401,
UKRAINE,-0.06791954487454353,N
UKRAINE,-0.06791954487454353,MT
PHILIPPINES,-0.06993437704307104,N
